City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vung tau,10.346,107.0843,76.41,83,85,9.22,VN,1674754659
1,rikitea,-23.1203,-134.9692,78.89,76,7,18.45,PF,1674754659
2,kruisfontein,-34.0033,24.7314,70.88,74,0,3.31,ZA,1674754660
3,kilinochchi,9.3961,80.3982,73.85,79,86,6.73,LK,1674754662
4,banjar,-8.19,114.9675,76.55,88,100,3.15,ID,1674754662
5,norman wells,65.282,-126.8329,-3.71,98,100,5.28,CA,1674754663
6,thompson,55.7435,-97.8558,-3.84,77,100,4.61,CA,1674754663
7,albany,42.6001,-73.9662,39.61,71,62,4.0,US,1674754408
8,ponta do sol,32.6667,-17.1,63.72,51,4,9.08,PT,1674754664
9,vaini,-21.2,-175.2,78.96,94,75,4.61,TO,1674754664
10,jamestown,42.097,-79.2353,31.59,93,100,16.11,US,1674754545
11,belgrade,44.804,20.4651,31.66,99,100,5.75,RS,1674754365
12,oriximina,-1.7656,-55.8661,85.84,61,99,0.69,BR,1674754665
13,port alfred,-33.5906,26.891,71.19,88,20,1.99,ZA,1674754665
14,yelovo,57.0538,54.9207,27.07,96,100,12.12,RU,1674754666
15,koroni,36.8,21.95,52.07,75,48,8.9,GR,1674754666
16,saldanha,-33.0117,17.9442,69.85,80,1,21.5,ZA,1674754666
17,assiniboia,49.6334,-105.9845,37.22,75,100,27.63,CA,1674754667
18,fomboni,-12.28,43.7425,82.54,78,100,18.84,KM,1674754668
19,lebu,-37.6167,-73.65,64.31,69,43,12.86,CL,1674754669
20,coihaique,-45.5752,-72.0662,59.61,51,75,6.91,CL,1674754656
21,ushuaia,-54.8,-68.3,53.22,62,75,26.46,AR,1674754670
22,hilo,19.7297,-155.09,70.25,83,40,5.75,US,1674754670
23,bengkulu,-3.8004,102.2655,75.04,90,100,6.62,ID,1674754671
24,dikson,73.5069,80.5464,2.75,87,100,20.92,RU,1674754672
25,kitaibaraki,36.7833,140.75,35.15,53,81,10.58,JP,1674754672
26,viedma,-40.8135,-62.9967,77.23,26,82,12.66,AR,1674754673
27,bluff,-46.6,168.3333,59.94,79,88,9.8,NZ,1674754673
28,brae,60.3964,-1.353,39.13,67,86,6.53,GB,1674754673
29,kapaa,22.0752,-159.319,66.18,75,0,8.05,US,1674754454
30,busselton,-33.65,115.3333,58.66,91,100,6.31,AU,1674754674
31,punta arenas,-53.15,-70.9167,51.91,54,75,25.32,CL,1674754467
32,bambous virieux,-20.3428,57.7575,77.22,100,75,3.44,MU,1674754675
33,ostrovnoy,68.0531,39.5131,24.48,88,93,20.67,RU,1674754675
34,cape town,-33.9258,18.4232,70.21,62,0,19.57,ZA,1674754675
35,new norfolk,-42.7826,147.0587,54.9,65,34,1.63,AU,1674754676
36,cherskiy,68.75,161.3,-29.85,87,6,2.44,RU,1674754676
37,constitucion,-35.3333,-72.4167,67.57,56,0,14.72,CL,1674754676
38,atuona,-9.8,-139.0333,78.66,75,78,17.22,PF,1674754472
39,bosaso,11.2842,49.1816,75.74,72,5,7.29,SO,1674754677
40,mahebourg,-20.4081,57.7,77.25,100,75,3.44,MU,1674754677
41,pevek,69.7008,170.3133,-13.36,85,44,1.66,RU,1674754678
42,avarua,-21.2078,-159.775,77.05,88,20,5.75,CK,1674754678
43,manzanillo,20.3433,-77.1167,87.22,42,72,5.79,CU,1674754600
44,esperance,-33.8667,121.9,67.96,75,55,9.6,AU,1674754679
45,nuuk,64.1835,-51.7216,14.61,73,75,10.36,GL,1674754679
46,hermanus,-34.4187,19.2345,70.81,75,0,5.5,ZA,1674754625
47,gamba,-2.65,10.0,79.03,81,99,3.47,GA,1674754679
48,san patricio,28.017,-97.5169,53.83,41,3,10.31,US,1674754680
49,doha,25.2867,51.5333,64.29,88,75,12.66,QA,1674754425
50,cabedelo,-6.9811,-34.8339,86.67,65,16,11.18,BR,1674754680
51,arraial do cabo,-22.9661,-42.0278,85.96,74,40,14.97,BR,1674754681
52,phonhong,18.5007,102.4166,63.45,73,0,1.79,LA,1674754682
53,alofi,-19.0595,-169.9187,69.69,94,20,1.14,NU,1674754682
54,qaanaaq,77.484,-69.3632,-2.11,67,96,6.89,GL,1674754683
55,chuy,-33.6971,-53.4616,80.82,48,94,7.36,UY,1674754683
56,sao gabriel da cachoeira,-0.1303,-67.0892,89.4,62,40,6.91,BR,1674754684
57,baglung,28.2719,83.5898,55.11,36,0,6.76,NP,1674754684
58,kasangulu,-4.5911,15.1708,85.14,88,35,3.04,CD,1674754685
59,mataura,-46.1927,168.8643,59.31,77,83,2.64,NZ,1674754685
60,naze,28.3667,129.4833,58.12,84,96,16.04,JP,1674754686
61,mar del plata,-38.0023,-57.5575,76.08,94,0,8.05,AR,1674754606
62,butaritari,3.0707,172.7902,80.33,80,47,17.96,KI,1674754687
63,barrow,71.2906,-156.7887,-11.18,70,0,17.27,US,1674754666
64,pisco,-13.7,-76.2167,77.05,73,0,11.5,PE,1674754607
65,faanui,-16.4833,-151.75,80.98,77,10,17.16,PF,1674754687
66,raudeberg,61.9875,5.1352,34.47,65,44,6.67,NO,1674754688
67,sao filipe,14.8961,-24.4956,72.03,74,50,7.7,CV,1674754689
68,guerrero negro,27.9769,-114.0611,62.91,27,99,4.83,MX,1674754689
69,leningradskiy,69.3833,178.4167,-22.2,95,10,3.29,RU,1674754690
70,daru,-9.0763,143.2092,79.12,87,100,8.72,PG,1674754690
71,meulaboh,4.1363,96.1285,76.89,85,96,4.59,ID,1674754691
72,chojnow,51.2737,15.9366,31.64,94,100,4.12,PL,1674754691
73,meadow lake,34.8014,-106.5436,34.95,49,24,6.08,US,1674754692
74,saskylakh,71.9167,114.0833,-37.52,97,26,10.18,RU,1674754693
75,ribeira grande,38.5167,-28.7,63.0,63,20,25.01,PT,1674754693
76,aklavik,68.2191,-135.0107,-9.4,84,100,4.61,CA,1674754694
77,flinders,-34.5833,150.8552,71.19,87,84,4.0,AU,1674754694
